id,position,country,jurisdiction,deputy,list,start,end,before,after,enwiki
Q19109718,President of Gabon,Q1000,Q1000,,Q730432,,,,,President of Gabon
Q17030478,Vice President of Gabon,Q1000,,,,1961-02,,,,Vice President of Gabon
Q30100607,Prime Minister of Gabon,Q1000,Q1000,,Q2603868,1960-08-17,,,,
Q104857966,Minister of Finance and Economy,Q1000,,,,,,,,Minister of Finance and Economy (Gabon)
Q1829498,Minister for Foreign Affairs,Q1000,Q1000,,,,,,,Minister for Foreign Affairs (Gabon)
Q63412666,Minister of Justice,Q1000,Q1000,,,,,,,
Q60708412,speaker of Gabon's National Assembly,Q1000,Q1000,,,,,,,
